#Time, x, y, z
0.00301	                                          Total                            :       9.89772e+07       530.467       -1.32499e+06
0.00302	                                          Total                            :       -39065.9       8.99801e+08       -2.02146
0.00303	                                          Total                            :       9.82713e+07       427.354       -1.31183e+06
0.00304	                                          Total                            :       -37972.8       8.93388e+08       -1.24329
0.00305	                                          Total                            :       9.75849e+07       562.511       -1.29846e+06
0.00306	                                          Total                            :       -38184.1       8.87123e+08       -1.82423
0.00307	                                          Total                            :       9.68958e+07       780.097       -1.28588e+06
0.00308	                                          Total                            :       -41813.1       8.80812e+08       0.203061
0.00309	                                          Total                            :       9.62246e+07       2752.83       -1.2732e+06
0.0031	                                          Total                            :       -67379.3       8.74731e+08       -1.51041
0.00311	                                          Total                            :       9.55395e+07       14.9288       -1.26066e+06
0.00312	                                          Total                            :       -33012.6       8.6852e+08       0.241135
0.00313	                                          Total                            :       9.48796e+07       555.235       -1.24817e+06
0.00314	                                          Total                            :       -38940.8       8.62535e+08       -0.982586
0.00315	                                          Total                            :       9.42233e+07       569.049       -1.23596e+06
0.00316	                                          Total                            :       -37286.1       8.56579e+08       0.0617991
0.00317	                                          Total                            :       9.35756e+07       519.395       -1.22385e+06
0.00318	                                          Total                            :       -35426.8       8.5075e+08       -0.421966
0.00319	                                          Total                            :       9.29325e+07       381.586       -1.21205e+06
0.0032	                                          Total                            :       -33135.3       8.44952e+08       0.0124456
0.00321	                                          Total                            :       9.23013e+07       347.595       -1.20028e+06
0.00322	                                          Total                            :       -33620.1       8.39231e+08       -0.0611613
0.00323	                                          Total                            :       9.16767e+07       355.609       -1.1888e+06
0.00324	                                          Total                            :       -32931.3       8.33557e+08       0.435392
0.00325	                                          Total                            :       9.10623e+07       377.482       -1.17737e+06
0.00326	                                          Total                            :       -32923       8.27975e+08       0.0885781
0.00327	                                          Total                            :       9.04522e+07       466.907       -1.16618e+06
0.00328	                                          Total                            :       -34828.5       8.22435e+08       0.0147744
0.00329	                                          Total                            :       8.98487e+07       439.773       -1.15495e+06
0.0033	                                          Total                            :       -34322.8       8.16955e+08       -0.184703
0.00331	                                          Total                            :       8.92449e+07       428.272       -1.14408e+06
0.00332	                                          Total                            :       -33225.5       8.11445e+08       0.802971
0.00333	                                          Total                            :       8.86525e+07       286.136       -1.13347e+06
0.00334	                                          Total                            :       -28857.9       8.06032e+08       0.441488
0.00335	                                          Total                            :       8.81251e+07       295.288       -1.1228e+06
0.00336	                                          Total                            :       -28553.1       8.0153e+08       0.3696
0.00337	                                          Total                            :       8.75753e+07       373.367       -1.11217e+06
